Site ID,Program Code,Program Name,Address 1,Address 2,Program Type,Enrollment,Daily Start Time,Length of Pre-K Day,Early Drop-Off Available,Late Pick-Up Available,Meals,Playspace,Dual Language,Collaborative Teachers - Survey Percent Positive,Supportive Environment - Survey Percent Positive,Effective School Leadership - Survey Percent Positive,Strong Family-Community Ties - Survey Percent Positive,Trust - Survey Percent Positive,Survey - Number of Guardian Responses,Survey - Guardian Response Rate,CLASS Most Recent Assessment Year,CLASS Emotional Support Score,CLASS Emotional Support Rating,CLASS Classroom Organization Score,CLASS Classroom Organization Rating,CLASS Instructional Support Score,CLASS Instructional Support Rating,ECERS Most Recent Assessment Year,ECERS Observation Average Score,ECERS Observation Average Rating,ECERS Language Reasoning Score,ECERS Language Reasoning Rating,ECERS Interaction Score,ECERS Interaction Rating,ECERS Activities Score,ECERS Activities Rating,ECERS Personal Care Routines Score,ECERS Personal Care Routines Rating,ECERS Space and Furnishings Score,ECERS Space and Furnishings Rating,ECERS Program Structure Score,ECERS Program Structure Rating,Quality Review - Date of Review,Quality Review - How well do teachers work with each other?
KBVB,14KBWH,Jonathan Williams,321 Roebling Street,"Brooklyn, NY 11211",NYCEEC,37,8:00 a.m,Full day,true,true,Breakfast/Lunch/Snack(s),Outdoor (onsite) playspace,,,97%,96%,97%,99%,27,75%,2014-15 School Year,6.5,4,6.6,4,4.8,3,2016-17 School Year,5.3,4,7,4,6.4,4,6,4,2.7,3,4.9,3,5.5,4,N/A,
KBVC,21KBWQ,Family Head Start Coney Island,2960 West 27th Street,"Brooklyn, NY 11224",NYCEEC,28,1899-12-31T09:00:00.000,Full day,true,false,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,,,,,,,,2015-16 School Year,6.3,4,6.7,4,3.9,3,2014-15 School Year,4.7,3,4.8,3,7,4,3.5,3,4.3,4,4.9,3,4.5,3,N/A,
KBVD,14KBWT,Our Children the Leaders of Tomorrow 1,756 Myrtle Avenue,"Brooklyn, NY 11206",NYCEEC,11,1899-12-31T07:30:00.000,Full day,true,true,Breakfast/Lunch/Snack(s),Indoor/Outdoor (offsite) playspace,,,85%,85%,90%,87%,9,100%,2016-17 School Year,6.7,4,7.0,4,4.7,3,2016-17 School Year,3.9,3,5.3,4,5,4,3.6,3,2.5,3,4.1,3,3.7,3,N/A,
KBVE,17KBWV,Saint Johns Place Family Center Day Care Program,1620 Saint Johns Place,"Brooklyn, NY 11233",NYCEEC,8,8:00 a.m,Full day,false,false,Breakfast/Lunch/Snack(s),Outdoor (onsite) playspace,,,,,,,,,2015-16 School Year,4.1,2,2.5,1,1.5,1,2016-17 School Year,4.1,3,5.5,4,5.6,4,4.3,3,3.7,3,3.4,3,1.7,1,N/A,
KBVG,14KBWW,Williamsburg Y Head Start,64 Division Avenue,"Brooklyn, NY 11249",NYCEEC,78,1899-12-31T08:20:00.000,Half day,false,false,Breakfast/Lunch/Snack(s),Outdoor (onsite) playspace,,,96%,97%,99%,98%,16,23%,2015-16 School Year,6.8,4,6.8,4,4.3,3,2016-17 School Year,5.1,4,5.5,4,6.6,4,5.5,4,2.8,3,4.5,3,5.5,4,N/A,
KBVO,32KBXL,ACE Integration Head Start,1419-23 Broadway,"Brooklyn, NY 11221",NYCEEC,54,8:00 a.m,Full day,false,false,Breakfast/Lunch/Snack(s),Outdoor (onsite) playspace,,,100%,97%,88%,95%,8,17%,2014-15 School Year,6.5,4,6.3,4,2.9,2,2016-17 School Year,4.1,3,5.5,4,5.8,4,4.1,3,2.5,3,3.8,3,4,3,N/A,
KBVR,22KBXQ,"Gan, Inc. - Gan Jewish Day Care",2901 Campus Road,"Brooklyn, NY 11210",NYCEEC,37,1899-12-31T08:00:00.000,Full day,false,true,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,,98%,98%,92%,100%,18,55%,2015-16 School Year,6.8,4,6.9,4,4.3,3,2014-15 School Year,4.6,3,4,3,4.6,3,4.8,3,3.7,3,5,4,5.5,4,N/A,
KBVT,17KBXS,"Roger Day Care, Inc.",775 Rogers Avenue,"Brooklyn, NY 11226",NYCEEC,26,1899-12-31T08:00:00.000,Full day,true,true,Breakfast/Lunch/Snack(s),Outdoor (onsite) playspace,,,100%,94%,87%,96%,12,50%,2016-17 School Year,6.7,4,6.7,4,3.1,2,2014-15 School Year,3.9,3,5.3,4,6.2,4,4.3,3,1.3,1,3.4,3,3.3,2,N/A,
KBVV,22KBXT,"New Generation Learning Center, Inc.",2597 Bedford Avenue,"Brooklyn, NY 11226",NYCEEC,18,1899-12-31T08:00:00.000,Full day,true,true,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,,,,,,,,2016-17 School Year,6.4,4,4.8,2,2.3,2,2015-16 School Year,5,4,7,4,7,4,5,4,3.2,3,3.9,3,5.8,4,N/A,
KBVX,21KBXU,Yeled V’ Yalda,1200 Ocean Parkway,"Brooklyn, NY 11230",NYCEEC,16,9:30 a.m,Half day,false,false,Contact program directly for details,Please contact site for more information,,,,,,,,,2015-16 School Year,6.2,4,6.4,4,4.2,3,2016-17 School Year,4.6,3,5.3,4,5.8,4,6,4,3,3,3.8,3,3,2,N/A,
KBVZ,18KBXV,Yeled V'Yalda 6012,6002 Farragut Road,"Brooklyn, NY 11236",NYCEEC,97,Contact program,Half day,false,false,Contact program directly for details,Please contact site for more information,,,97%,90%,89%,93%,13,14%,2014-15 School Year,6.6,4,6.4,4,4.5,3,2016-17 School Year,4.9,3,6.3,4,5.4,4,5,4,2.2,2,4.6,3,6.3,4,N/A,
KBWD,21KBYC,YWCA-NYC Roberta Bright Early Learning Center,3001 West 37th Street,"Brooklyn, NY 11224",NYCEEC,22,Contact program,Full day,false,false,Breakfast/Lunch/Snack(s),Outdoor (onsite) playspace,,,,,,,,,2014-15 School Year,6.7,4,6.5,4,2.9,2,2016-17 School Year,3.1,2,3.5,3,1.4,1,4.9,3,1.5,2,2.9,1,3,2,N/A,
KBWG,20KBYF,Edith and Karl Marks JCH of Bensonhurst,7802 Bay Parkway,"Brooklyn, NY 11214",NYCEEC,30,1899-12-31T09:00:00.000,Full day,true,true,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,,99%,100%,97%,100%,23,79%,2016-17 School Year,6.6,4,6.7,4,3.6,3,2014-15 School Year,4.6,3,4.8,3,5.8,4,5.4,4,2.8,3,4.1,3,4.3,3,N/A,
KBWH,20KBYG,Happy Dragon Children and Family Center,5805 7th Avenue,"Brooklyn, NY 11220",NYCEEC,93,1899-12-31T08:30:00.000,Full day,true,true,Breakfast/Lunch,Outdoor (onsite) playspace,,,100%,100%,100%,100%,84,100%,2015-16 School Year,6.6,4,6.2,4,3.2,2,2014-15 School Year,4.1,3,4.3,3,5.4,4,4.6,3,2.8,3,3.4,3,4.3,3,N/A,
KBWQ,15KBYJ,"Al Madinah School, Inc.",383 3rd Avenue,"Brooklyn, NY 11215",NYCEEC,44,Contact program,Full day,true,true,Breakfast/Lunch,Indoor/Outdoor (offsite) playspace,,,89%,90%,90%,92%,13,33%,2015-16 School Year,6.6,4,6.0,4,2.2,2,2014-15 School Year,4.6,3,5.5,4,6.4,4,5.1,4,2.8,3,4,3,3.7,3,N/A,
KBWV,23KBYM,Friends of Crown Heights 26,20 Sutter Avenue,"Brooklyn, NY 11212",NYCEEC,34,8:00 a.m,Full day,false,false,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,,100%,98%,90%,99%,16,50%,2014-15 School Year,6.3,4,6.1,4,3,2,2016-17 School Year,4.2,3,5.5,4,6,4,5.1,4,2,2,3.8,3,2.5,1,N/A,
KBWW,15KBYN,Bumble Bees R Us 2,76 Lorraine Street,"Brooklyn, NY 11231",NYCEEC,8,1899-12-31T09:00:00.000,Full day,true,true,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,,,,,,,,2014-15 School Year,6.9,4,6.5,4,4.8,3,2016-17 School Year,3.3,2,4.5,3,3,2,4,3,2.3,3,2.6,1,3.8,3,N/A,
KBXK,20KBYQ,Bumble Bees R Us 8,5721 6th Avenue,"Brooklyn, NY 11220",NYCEEC,39,1899-12-31T08:30:00.000,Full day,true,true,Breakfast/Lunch/Snack(s),Outdoor (onsite) playspace,,,100%,100%,94%,100%,18,47%,2014-15 School Year,5.1,3,4.2,2,2.2,2,2016-17 School Year,3.2,2,4,3,3.8,3,3.4,3,1.7,2,3.4,3,2.8,1,N/A,
KBXQ,20KBZG,Ring Around The Rosie,7106 13th Avenue,"Brooklyn, NY 11228",NYCEEC,29,1899-12-31T08:15:00.000,Full day,true,true,Breakfast/Lunch,Outdoor (onsite) playspace,,,100%,96%,96%,99%,17,59%,2014-15 School Year,6.1,4,6.7,4,4.1,3,2016-17 School Year,5.6,4,7,4,6.4,4,6.4,4,4.3,4,4.8,3,5,4,N/A,
KBXS,16KBZU,Bedford Stuyvesant ECDC 510,510 Quincy Street,"Brooklyn, NY 11221",NYCEEC,45,1899-12-31T09:00:00.000,Both half day and full day,false,true,Breakfast/Lunch/Snack(s),Outdoor (offsite) playspace,,,100%,95%,94%,100%,5,13%,2015-16 School Year,6.8,4,6.8,4,3.6,3,2016-17 School Year,4.1,3,5.3,4,5.2,4,4.3,3,2.5,3,3.5,3,4.5,3,N/A,
KBXT,22KBZX,Yeshiva Torah Vodaath Preschool,1192 East 31st Street,"Brooklyn, NY 11218",NYCEEC,36,8:40 a.m,Full day,true,false,Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,,100%,100%,99%,100%,29,85%,2016-17 School Year,6.6,4,6.6,4,4.1,3,2015-16 School Year,4.8,3,4.8,3,5.8,4,4.6,3,4.8,4,4.3,3,5.3,4,N/A,
KBXU,17KCAD,Higher Level,2401 Beverley Road,"Brooklyn, NY 11226",NYCEEC,18,1899-12-31T08:20:00.000,Full day,true,true,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,,100%,100%,100%,100%,18,100%,2016-17 School Year,6.8,4,6.9,4,3.8,3,N/A,,,,,,,,,,,,,,,N/A,
KBXV,20KCAK,Kindstart Preschool,7702 New Utrecht Avenue,"Brooklyn, NY 11214",NYCEEC,20,1899-12-31T08:30:00.000,Full day,true,true,Contact program directly for details,Indoor,,,100%,100%,100%,100%,20,100%,2016-17 School Year,6.6,4,6.1,4,2.3,2,2014-15 School Year,4.2,3,4.3,3,6.4,4,4.1,3,2.8,3,4,3,3.7,3,N/A,
KBYF,21KCBJ,Congregation Yeshiva Bnei Torah,1571 55th Street,"Brooklyn, NY 11219",NYCEEC,16,1899-12-31T09:00:00.000,Full day,true,true,Breakfast/Lunch/Snack(s),Please contact site for more information,,,100%,100%,100%,100%,5,31%,N/A,,,,,,,2016-17 School Year,4.9,3,5.3,4,5.8,4,6.1,4,2.5,3,5,4,4.3,3,N/A,
KBYG,21KCBR,Yeshivat Darche Eres,49 Avenue T,"Brooklyn, NY 11223",NYCEEC,84,9:30 a.m,Both half day and full day,false,true,Contact program directly for details,Please contact site for more information,,,100%,92%,92%,100%,7,10%,2015-16 School Year,6.4,4,6.6,4,3.3,3,2016-17 School Year,5.4,4,7,4,5.8,4,6,4,4,4,4.3,3,6,4,N/A,
KBYM,20KCDI,Beth Jacob of Borough Park,1371 46 Street,"Brooklyn, NY 11219",NYCEEC,75,1899-12-31T09:00:00.000,Full day,true,false,Breakfast/Lunch/Snack(s),Outdoor (onsite) playspace,,,96%,96%,95%,96%,25,34%,2015-16 School Year,6.6,4,6.8,4,4.1,3,2016-17 School Year,5.3,4,7,4,5.8,4,5.6,4,2.8,3,4.9,3,7,4,N/A,
KBYN,21KCDM,BUTTERFLY DAY CARE CENTER,2770 East 16th Street,"Brooklyn, NY 11235",NYCEEC,20,1899-12-31T08:00:00.000,Full day,true,true,Breakfast/Lunch,Outdoor (onsite) playspace,,,100%,99%,96%,100%,20,100%,2016-17 School Year,6.6,4,6.3,4,3.1,2,2015-16 School Year,5.8,4,6.5,4,7,4,6.1,4,3.2,3,5.9,4,7,4,N/A,
KBYQ,20KCEB,Brooklyn Chinese American Association,871 50 Street,"Brooklyn, NY 11220",NYCEEC,56,N/A,Both half day and full day,false,false,Breakfast/Lunch,Outdoor (offsite) playspace,,,100%,99%,95%,100%,42,91%,2014-15 School Year,5.3,3,5.6,3,3.5,3,2016-17 School Year,3.3,2,4.5,3,3.2,2,4,3,1.8,2,3.6,3,1.3,1,N/A,
KBZG,32KCEC,Kreative Kare Day Care Center,455 Wilson Avenue,"Brooklyn, NY 11221",NYCEEC,37,1899-12-31T07:30:00.000,Full day,true,true,Lunch/Snack(s),Indoor/Outdoor (onsite) playspace/Outdoor (offsite) playspace,,,95%,100%,99%,98%,8,24%,2015-16 School Year,7.0,4,7.0,4,3.6,3,2016-17 School Year,4.9,3,6.3,4,6.6,4,5.2,4,3.7,3,4,3,4.3,3,N/A,
KBZU,21KCED,Sunshine Center of Coney Island,2929 West 31st Street,"Brooklyn, NY 11224",NYCEEC,18,1899-12-31T08:00:00.000,5-Hour,true,true,Breakfast/Lunch/Snack(s),Outdoor (onsite) playspace,,,,,,,,,2015-16 School Year,6.3,4,6.2,4,3.8,3,2014-15 School Year,3.4,3,4.3,3,3.8,3,3,2,2.8,3,3.8,3,2.8,1,N/A,
KBZX,13KCEG,Imagine Dumbo - Adams,85 Adams Street,"Brooklyn, NY 11201",NYCEEC,11,1899-12-31T09:30:00.000,Full day,true,true,Contact program directly for details,Outdoor (offsite) playspace,,,100%,94%,99%,100%,8,73%,2015-16 School Year,7.0,4,6.9,4,5.7,4,2016-17 School Year,3.7,3,5,4,6.4,4,3.1,2,2.2,2,3.5,3,3.3,2,N/A,
KCAD,13KCEH,Imagine Brooklyn Heights,50 Monroe Place,"Brooklyn, NY 11201",NYCEEC,20,1899-12-31T09:30:00.000,Full day,true,true,Contact program directly for details,Indoor/Outdoor (offsite) playspace,,,98%,95%,86%,95%,15,75%,2014-15 School Year,6.9,4,6.8,4,4.3,3,2016-17 School Year,4.2,3,5,4,6.8,4,4.4,3,2.8,3,3.1,2,3.7,3,N/A,
KCAK,22KCEI,Bambi Day Care II,2121 Bragg Street,"Brooklyn, NY 11229",NYCEEC,96,1899-12-31T08:30:00.000,Full day,true,true,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,,100%,93%,92%,99%,31,33%,2015-16 School Year,6.3,4,6.7,4,3.1,2,2016-17 School Year,4.8,3,5.5,4,5.2,4,5.7,4,2.8,3,4.3,3,5.5,4,N/A,
KCBR,23KCFA,SCO Family of Services,225 Newport Street,"Brooklyn, NY 11212",NYCEEC,38,1899-12-31T08:30:00.000,Full day,false,false,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,,98%,96%,95%,98%,19,53%,2014-15 School Year,7.0,4,7.0,4,6.3,4,2016-17 School Year,3.8,3,5.3,4,3.4,3,4.4,3,2.7,3,4.3,3,2.3,1,N/A,
KCDI,15KCFR,Bubble Bee Day Care,76 Lorraine Street,"Brooklyn, NY 11231",NYCEEC,19,N/A,Half day,true,true,Breakfast/Lunch/Snack(s),Please contact site for more information,,,,,,,,,2015-16 School Year,6.3,4,5.5,3,2.3,2,2016-17 School Year,2.8,1,3.5,3,2.2,1,3.9,3,1.6,2,2.8,1,1.8,1,N/A,
KCEC,23KCGN,SCO Family of Services,774 Saratoga Avenue,"Brooklyn, NY 11212",NYCEEC,24,1899-12-31T08:00:00.000,Full day,false,false,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,,,,,,,,2015-16 School Year,6.1,4,6.4,4,3.3,3,2014-15 School Year,3.5,3,3,2,2.6,1,4.6,3,3,3,4.1,3,1.7,1,N/A,
KCED,22KCGO,Child Development Center of Kingsborough,1915 Oriental Boulevard,"Brooklyn, NY 11235",NYCEEC,18,1899-12-31T09:00:00.000,Full day,true,true,Breakfast/Lunch/Snack(s),Outdoor (onsite) playspace,,,100%,100%,97%,98%,16,89%,2015-16 School Year,6.8,4,6.7,4,3.7,3,2016-17 School Year,5.9,4,7,4,6.8,4,6.2,4,4.5,4,6.1,4,4.5,3,N/A,
KCEG,18KCGP,Birch Family Services,475 East 57th Street,"Brooklyn, NY 11203",NYCEEC,10,1899-12-31T08:15:00.000,Full day,false,false,Breakfast/Lunch,Please contact site for more information,,,,,,,,,2016-17 School Year,6.2,4,5.8,3,3,2,2015-16 School Year,3.6,3,4.5,3,4.4,3,3,2,2.7,3,4.3,3,3,2,N/A,
KCEH,15KCGR,Brooklyn Chinese American Association,4116 8th Avenue,"Brooklyn, NY 11232",NYCEEC,30,1899-12-31T09:00:00.000,Full day,true,false,Breakfast/Lunch/Snack(s),Outdoor (offsite) playspace,,,100%,97%,97%,97%,26,93%,2015-16 School Year,5.6,3,5.4,3,2.3,2,2014-15 School Year,3.8,3,4.3,3,5.2,4,4.6,3,2.2,2,3.4,3,2.7,1,N/A,
KCEI,21KCGT,Gold Material Montessori School,105 Kings Highway,"Brooklyn, NY 11214",NYCEEC,40,1899-12-31T08:00:00.000,Full day,false,true,Breakfast/Lunch,Please contact site for more information,,,97%,95%,91%,100%,11,29%,2016-17 School Year,7.0,4,7.0,4,4.9,3,2015-16 School Year,5,4,6.3,4,7,4,5.9,4,1.3,1,5.1,4,4.5,3,N/A,
KCFA,17KCHJ,"Arista Prep, Inc.",221 Kingston Avenue,"Brooklyn, NY 11213",NYCEEC,35,N/A,Full day,true,true,Breakfast/Lunch/Snack(s),Indoor/Outdoor (offsite) playspace,,,86%,68%,75%,65%,7,21%,2016-17 School Year,5.7,3,5.1,3,2.5,2,2014-15 School Year,3.5,3,3.5,3,4.6,3,4.1,3,2.7,3,3.1,2,3,2,N/A,
KCFR,13KCHM,"Alonzo A. Daughtry Memorial Day Care Center, Inc.",565 Baltic Street,"Brooklyn, NY 11217",NYCEEC,22,1899-12-31T08:40:00.000,Full day,true,true,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,,100%,100%,99%,100%,5,25%,2015-16 School Year,6.7,4,6.5,4,1.4,1,2014-15 School Year,3.5,3,6,4,2.2,1,4,3,2.2,2,3.6,3,3.3,2,N/A,
KCGN,22KCHN,Friends of Crown Heights,2805 Newkirk Avenue,"Brooklyn, NY 11226",NYCEEC,34,1899-12-31T08:00:00.000,Full day,false,true,Breakfast/Lunch/Snack(s),Outdoor (offsite) playspace,,,98%,87%,89%,86%,22,71%,2015-16 School Year,6.4,4,6.1,4,3.2,2,2014-15 School Year,3.8,3,5.5,4,3.6,3,4.1,3,3,3,3.3,2,3.8,3,N/A,
KCGR,19KCHT,"Baybee Lounge Daycare, Inc.",2745 Atlantic Avenue,"Brooklyn, NY 11207",NYCEEC,24,1899-12-31T08:00:00.000,Full day,true,true,Breakfast/Lunch/Snack(s),Indoor/Outdoor (offsite) playspace,,,97%,91%,91%,93%,12,52%,2016-17 School Year,6.7,4,6.6,4,2.7,2,2014-15 School Year,3.4,3,5,4,4.4,3,3.6,3,2,2,3.3,2,1.7,1,N/A,
KCGT,22KCHU,Infinity UPK of Gerritsen Avenue,2934-2936 Gerritsen Avenue,"Brooklyn, NY 11229",NYCEEC,21,N/A,Full day,true,false,Breakfast/Snack(s),Indoor/Outdoor (onsite) playspace,,,100%,88%,99%,97%,11,69%,2015-16 School Year,6.5,4,5.8,3,2.8,2,2014-15 School Year,2.7,1,3.3,2,2,1,3.4,3,1.8,2,2.8,1,2.8,1,N/A,
KCHJ,15KCHV,"New York Creative Childcare, Inc.",5015 6th Avenue,"Brooklyn, NY 11220",NYCEEC,36,1899-12-31T08:40:00.000,Full day,true,true,Breakfast/Lunch/Snack(s),Outdoor (onsite) playspace,,,100%,95%,93%,100%,20,65%,2015-16 School Year,5.9,3,6.0,4,2.5,2,2014-15 School Year,4.2,3,5.5,4,6.4,4,3.8,3,2.3,3,4.1,3,4.5,3,N/A,
KCHM,21KCHX,Dezzenterprise LLC,3524 Neptune Avenue,"Brooklyn, NY 11224",NYCEEC,6,1899-12-31T08:00:00.000,Full day,false,false,Breakfast/Lunch/Snack(s),Please contact site for more information,,,100%,100%,100%,100%,5,83%,2016-17 School Year,6.9,4,6.6,4,2.7,2,2016-17 School Year,5.5,4,7,4,6.8,4,5.8,4,3.7,3,4.8,3,6.7,4,N/A,
KCHT,18KCIC,"Little Einsteins of Canarsie, LLC",8413 Avenue K,"Brooklyn, NY 11236",NYCEEC,67,1899-12-31T08:00:00.000,Full day,false,true,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,,94%,92%,95%,92%,50,83%,2016-17 School Year,6.8,4,6.2,4,2.5,2,2015-16 School Year,4.8,3,5.5,4,5.8,4,4.7,3,5.5,4,4.4,3,3,2,N/A,
KCHU,20KCIE,Bnos Chaya,4511 14th Avenue,"Brooklyn, NY 11219",NYCEEC,17,1899-12-31T09:00:00.000,Full day,false,true,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,,,,,,,,2015-16 School Year,6.6,4,6.0,4,3.8,3,2014-15 School Year,4,3,4.5,3,5.4,4,4.4,3,2.2,2,3.5,3,4.3,3,N/A,
KCHV,14KCII,Kings Bay Y at North Williamsburg,14 Hope Street,"Brooklyn, NY 11211",NYCEEC,18,1899-12-31T08:40:00.000,Full day,true,true,Contact program directly for details,Indoor/Outdoor (offsite) playspace,,,100%,100%,96%,100%,16,89%,2016-17 School Year,6.9,4,6.9,4,4.8,3,2014-15 School Year,4.4,3,6.3,4,6.2,4,3.7,3,2.3,3,4.5,3,4.5,3,N/A,
KCHX,32KCIL,Urban Strategies Child Care,1405 Bushwick Avenue,"Brooklyn, NY 11207",NYCEEC,13,1899-12-31T08:00:00.000,Full day,false,true,Breakfast/Lunch/Snack(s),Outdoor (offsite) playspace,,,,,,,,,2015-16 School Year,6.9,4,6.7,4,3.3,3,2014-15 School Year,4.2,3,5.3,4,6.2,4,4.1,3,2.5,3,4.1,3,3.5,3,N/A,
KCHZ,15KCIM,Brooklyn Explorers Academy,110 Schermerhorn Street,"Brooklyn, NY 11201",NYCEEC,20,1899-12-31T08:30:00.000,Full day,true,true,Breakfast/Lunch,Outdoor (onsite) playspace,,,100%,95%,91%,100%,9,47%,2016-17 School Year,6.8,4,6.6,4,4.1,3,2014-15 School Year,4.1,3,5.8,4,5.2,4,3.7,3,2.3,3,4.3,3,4.5,3,N/A,
KCIA,17KCIO,Honeydew Drop Playhouse,1113 Church Avenue,"Brooklyn, NY 11218",NYCEEC,14,1899-12-31T08:00:00.000,Full day,true,true,Breakfast/Lunch,Indoor,,,100%,97%,97%,100%,9,75%,2016-17 School Year,6.4,4,6.0,4,3.1,2,2014-15 School Year,3.8,3,5.3,4,4.2,3,4.6,3,2.7,3,3,2,2.7,1,N/A,
KCIL,20KCIW,IP Kids Montessori,850 50th Street,"Brooklyn, NY 11220",NYCEEC,87,1899-12-31T09:00:00.000,Full day,false,false,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,,100%,99%,93%,97%,36,43%,2015-16 School Year,6.6,4,6.9,4,3.4,3,2014-15 School Year,3.9,3,4.3,3,6.2,4,3.7,3,2.5,3,3.6,3,3.7,3,N/A,
KCIM,21KCIX,IP Kids,2631 86th Street,"Brooklyn, NY 11223",NYCEEC,78,1899-12-31T09:00:00.000,Full day,false,false,Breakfast/Lunch,Indoor/Outdoor (onsite) playspace,,,96%,88%,88%,94%,26,33%,2015-16 School Year,5.9,3,6.1,4,2.8,2,2014-15 School Year,3.6,3,4.5,3,4.8,3,4.2,3,1.8,2,3.5,3,2.8,1,N/A,
KCIO,21KCIY,"Ronomoza, Inc. / The Learning Experience",412 Kings Highway,"Brooklyn, NY 11223",NYCEEC,36,1899-12-31T08:00:00.000,Full day,true,true,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,,89%,27%,77%,90%,6,18%,2016-17 School Year,6.8,4,6.5,4,3.7,3,2014-15 School Year,2.5,1,3.5,3,2,1,3.2,2,1.5,2,2.5,1,1.8,1,N/A,
KCIS,20KCIZ,Al Madinah School Site 2,2015 64th Street,"Brooklyn, NY 11204",NYCEEC,31,1899-12-31T08:00:00.000,Full day,false,false,Breakfast/Lunch,Indoor/Outdoor (offsite) playspace,,,96%,97%,93%,94%,9,30%,2015-16 School Year,6.9,4,6.9,4,3.7,3,2014-15 School Year,4.3,3,4.3,3,6,4,4.4,3,3.7,3,3.8,3,3.7,3,N/A,
KCIX,17KCJC,Blue Star Day Care Center,2217 Caton Avenue,"Brooklyn, NY 11226",NYCEEC,35,1899-12-31T08:00:00.000,Full day,true,true,Breakfast/Lunch/Snack(s),Outdoor (offsite) playspace,,,100%,100%,98%,100%,11,33%,2015-16 School Year,6.6,4,6.6,4,3.4,3,2014-15 School Year,5,4,5.5,4,6.8,4,6.2,4,3,3,4.3,3,3.3,2,N/A,
KCIZ,18KCJF,Clarkson Early Childhood Center,8801 Glenwood Road,"Brooklyn, NY 11236",NYCEEC,19,1899-12-31T08:00:00.000,Full day,true,true,Lunch/Snack(s),Outdoor (offsite) playspace,,,100%,98%,96%,100%,16,89%,2015-16 School Year,6.0,4,5.7,3,3.3,3,2014-15 School Year,4,3,4.8,3,5,4,5,4,2.2,2,3.6,3,3,2,N/A,
KCJF,19KCJH,"A Castle For Classy Kids Learning Center, Inc.",2570 Pitkin Avenue,"Brooklyn, NY 11208",NYCEEC,35,1899-12-31T08:00:00.000,Full day,true,true,Breakfast/Lunch/Snack(s),Outdoor (onsite) playspace,,,100%,97%,95%,100%,16,46%,2016-17 School Year,6.6,4,6.3,4,2.6,2,2014-15 School Year,3.2,2,2.5,1,5.4,4,2.9,1,2.2,2,3.5,3,3,2,N/A,
KCJG,20KCJK,LPBC Day Care,7524 14th Avenue,"Brooklyn, NY 11228",NYCEEC,15,1899-12-31T08:15:00.000,Full day,true,true,Contact program directly for details,Outdoor (onsite) playspace,,,100%,98%,95%,100%,15,100%,2015-16 School Year,6.7,4,6.6,4,4,3,2014-15 School Year,4.4,3,4.8,3,6.4,4,4.1,3,3,3,4.3,3,5,4,N/A,
KCJH,21KCJM,"Circle, Triangle, Square Daycare, Inc.",2720 86th Street,"Brooklyn, NY 11223",NYCEEC,35,1899-12-31T09:00:00.000,Full day,true,true,Breakfast/Lunch/Snack(s),Indoor/Outdoor (onsite) playspace,,,86%,90%,95%,97%,15,88%,2015-16 School Year,6.9,4,6.9,4,4.7,3,2014-15 School Year,1.9,1,1.5,1,1.4,1,1.9,1,1.4,1,2.9,1,1.5,1,N/A,
KCJK,20KCJN,Stillwell Avenue Prep School,6420 Bay Parkway,"Brooklyn, NY 11204",NYCEEC,61,1899-12-31T08:00:00.000,Full day,false,false,Breakfast/Lunch/Snack(s),Outdoor (onsite) playspace,,,99%,99%,94%,98%,44,77%,2016-17 School Year,6.4,4,6.5,4,2.5,2,2014-15 School Year,4.7,3,5.5,4,6.4,4,4.8,3,3.8,4,3.8,3,4.5,3,N/A,
KCJM,17KCJO,Aim High Childrens Services,83 Marlborough Road,"Brooklyn, NY 11226",NYCEEC,26,N/A,Full day,false,false,Breakfast/Lunch/Snack(s),Outdoor (onsite) playspace/Outdoor (offsite) playspace,,,100%,88%,92%,100%,9,38%,2016-17 School Year,6.6,4,6.4,4,3,2,2014-15 School Year,4.1,3,5.3,4,5,4,5.6,4,2.7,3,2.9,1,3,2,N/A,
KCJN,22KCJQ,Initial Steps Child Development Center,3003 Glenwood Road,"Brooklyn, NY 11210",NYCEEC,20,N/A,Full day,true,true,Breakfast/Lunch/Snack(s),Outdoor (onsite) playspace,,,100%,100%,97%,100%,19,95%,2015-16 School Year,6.3,4,6.3,4,3.3,3,2014-15 School Year,3.3,2,3.5,3,2.2,1,4.4,3,2.3,3,3.5,3,2.8,1,N/A,
